2026-03-05 17:57:42,877 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 07:42:46,765 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 08:31:07,694 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 08:31:09,368 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 08:31:09,703 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 09:50:13,174 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 09:50:14,645 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 09:50:14,976 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 09:57:12,270 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 09:57:13,959 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 09:57:14,289 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 10:10:40,140 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 10:10:42,032 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 10:10:42,385 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 10:15:09,576 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 10:15:12,399 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 10:15:12,794 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 10:38:26,209 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 10:38:28,026 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 10:38:28,352 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 10:38:59,789 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 10:39:01,460 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 10:39:01,773 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 10:49:31,631 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 10:49:33,295 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 10:49:33,621 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 10:53:33,466 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 10:53:35,139 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 10:53:35,450 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 11:02:15,690 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 11:02:17,331 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 11:02:17,639 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 11:04:11,839 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 11:04:13,444 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 11:04:13,767 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 11:07:15,495 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 11:07:18,729 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 11:07:19,942 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 11:16:34,833 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 11:16:36,562 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 11:16:36,901 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 12:46:41,652 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 12:46:43,315 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 12:46:43,646 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 13:30:04,920 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 13:30:13,833 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 13:30:15,062 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 13:31:48,953 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 13:31:56,022 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 13:31:56,529 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 13:40:44,878 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 13:40:49,316 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 13:40:49,754 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 14:05:55,818 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 14:05:57,691 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 14:05:58,036 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 14:17:08,126 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 14:17:12,658 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 14:17:15,901 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 14:51:57,570 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 14:51:59,348 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 14:51:59,687 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 14:56:10,786 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 14:56:12,314 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 14:56:12,609 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 15:17:07,088 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 15:17:09,507 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 15:17:10,050 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 15:17:46,179 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 15:17:52,530 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 15:17:55,063 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 15:20:42,544 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 15:20:47,915 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 15:20:49,134 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 15:21:48,840 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 15:21:56,443 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 15:21:59,765 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 15:33:20,669 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 15:33:22,367 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 15:33:22,709 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 16:37:38,456 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 16:37:41,558 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 16:37:41,927 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 17:39:15,889 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 17:39:17,742 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 17:39:18,119 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 17:39:56,106 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 17:39:57,628 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 17:39:57,914 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 17:51:45,428 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 17:51:47,084 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 17:51:47,366 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 18:29:50,659 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 18:29:52,342 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 18:29:52,666 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 18:42:19,429 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 18:42:21,215 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 18:42:21,565 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 19:05:50,020 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 19:05:51,852 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 19:05:52,183 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 19:28:56,991 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 19:28:58,847 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 19:28:59,287 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 19:31:02,403 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 19:31:04,248 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 19:31:04,617 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 19:36:15,601 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 19:36:17,069 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 19:36:17,355 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 20:51:19,759 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 20:51:22,161 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 20:51:22,479 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 21:03:19,364 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 21:03:20,876 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 21:03:21,189 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 21:07:51,033 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-06 21:07:54,527 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-06 21:07:55,350 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-06 21:13:45,649 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 5, filling with NaNs
